model = bloom-1b7, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   28.162437438964844  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-1b7, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   67.49041748046875  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   19.729459762573242  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-3b, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   40.32148361206055  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-560m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   42.318424224853516  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-560m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   101.79888916015625  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-7b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   13.95641040802002  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-7b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   26.884218215942383  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-1b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   35.39167404174805  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-1b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   115.67240142822266  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True

model = bloom-560m, wbits = 3, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   30.071578979492188  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-560m, wbits = 3, groupsize = 128, lut = False, nonLinear = False, columnwise = True   :   80.77545166015625  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-1b7, wbits = 3, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   21.61626625061035  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-1b7, wbits = 3, groupsize = 256, lut = False, nonLinear = False, columnwise = True   :   41.76823043823242  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-3b, wbits = 3, groupsize = 320, lut = False, nonLinear = False, columnwise = True   :   18.503923416137695  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-3b, wbits = 3, groupsize = 320, lut = False, nonLinear = False, columnwise = True   :   35.54123306274414  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-7b1, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   16.585180282592773  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True
model = bloom-7b1, wbits = 3, groupsize = 512, lut = False, nonLinear = False, columnwise = True   :   31.87261390686035  ||  bcq_round = 50  ||  apot_nums = 3 use_bst = True

model = bloom-560m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   47.649471282958984  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-560m, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   105.4715347290039  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-1b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   29.804454803466797  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-1b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   106.89798736572266  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-1b7, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   20.75896644592285  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-1b7, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   42.590003967285156  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
model = bloom-7b1, wbits = 3, groupsize = -1, lut = False, nonLinear = False, columnwise = True   :   13.344273567199707  ||  bcq_round = 50  ||  apot_nums = 2 use_bst = True
